q_x1_0,q_x1_1,q_x1_2,q_x1_3
0.00000000,-1980.79272461,949.69519043,-149.23780823
0.00000000,-1817.98779297,583.38415527,-122.10366058
0.00000000,-2333.53662109,895.42681885,-176.37194824
0.00000000,-2048.62817383,569.81707764,-203.50610352
0.00000000,-1980.79272461,529.11590576,-176.37194824
0.00000000,-2048.62817383,379.87805176,-122.10366058
0.00000000,-2075.76220703,312.04266357,-176.37194824
0.00000000,-2089.32934570,542.68292236,-135.67073059
0.00000000,-2116.46362305,217.07318115,-135.67073059
0.00000000,-2021.49401855,474.84759521,-149.23780823
0.00000000,-2048.62817383,501.98171997,-162.80488586
0.00000000,-2075.76220703,447.71340942,-94.96951294
0.00000000,-1980.79272461,325.60977173,-94.96951294
0.00000000,-1858.68908691,244.20732117,-122.10366058
0.00000000,-1831.55493164,176.37194824,-81.40244293
0.00000000,-1926.52441406,-149.23780823,-27.13414764
0.00000000,-1790.85363770,135.67073059,-54.26829529
0.00000000,-1505.94519043,-1153.20129395,-13.56707382
0.00000000,-746.18902588,-773.32318115,149.23780823
0.00000000,-1912.95727539,94.96951294,-67.83536530
0.00000000,-1356.70727539,-1695.88427734,-94.96951294
0.00000000,-583.38415527,-1505.94519043,-81.40244293
0.00000000,-13.56707382,-1085.36584473,-40.70122147
0.00000000,-1533.07934570,-501.98171997,-108.53659058
0.00000000,-827.59149170,-1112.50000000,13.56707382
0.00000000,-1071.79882813,-1682.31701660,1302.43908691
0.00000000,-678.35363770,-2387.80493164,1790.85363770
0.00000000,-1139.63415527,-2604.87817383,746.18902588
0.00000000,-3188.26220703,-3256.09765625,0.00000000
0.00000000,-1926.52441406,-203.50610352,-203.50610352
0.00000000,-610.51831055,2374.23779297,-230.64024353
0.00000000,-2252.13403320,1505.94519043,-189.93902588
0.00000000,-2360.67089844,-339.17681885,-135.67073059
0.00000000,-1641.61584473,-244.20732117,-149.23780823
0.00000000,-1641.61584473,569.81707764,-203.50610352
0.00000000,-2075.76220703,1071.79882813,-176.37194824
0.00000000,-2184.29882813,881.85974121,-189.93902588
0.00000000,-1967.22570801,529.11590576,-176.37194824
0.00000000,-1790.85363770,379.87805176,-149.23780823
0.00000000,-1912.95727539,637.65246582,-149.23780823
0.00000000,-1967.22570801,827.59149170,-176.37194824
0.00000000,-1994.35986328,800.45733643,-189.93902588
0.00000000,-1940.09143066,610.51831055,-176.37194824
0.00000000,-1926.52441406,596.95123291,-149.23780823
0.00000000,-1912.95727539,624.08532715,-203.50610352
0.00000000,-1953.65856934,746.18902588,-189.93902588
0.00000000,-1912.95727539,678.35363770,-176.37194824
0.00000000,-1926.52441406,651.21954346,-135.67073059
0.00000000,-1899.39038086,596.95123291,-189.93902588
0.00000000,-1953.65856934,651.21954346,-176.37194824
0.00000000,-1940.09143066,705.48779297,-176.37194824
0.00000000,-1940.09143066,719.05487061,-162.80488586
0.00000000,-1940.09143066,691.92077637,-189.93902588
0.00000000,-1994.35986328,637.65246582,-162.80488586
0.00000000,-1967.22570801,705.48779297,-162.80488586
0.00000000,-1953.65856934,651.21954346,-203.50610352
