q_xT_0,q_xT_1,q_xT_2,q_xT_3
0.00000000,-31.07469559,5.76219511,-1.85213423
0.00000000,-31.48628044,4.73323154,-2.67530489
0.00000000,-31.69207573,8.23170757,-2.05792689
0.00000000,-32.10366058,3.29268312,-2.05792689
0.00000000,-30.66311073,7.20274448,-2.26371956
0.00000000,-31.07469559,7.61432934,-2.46951222
0.00000000,-31.48628044,6.79115868,-1.44054878
0.00000000,-30.04573250,4.93902445,-1.44054878
0.00000000,-28.19359779,3.70426846,-1.85213423
0.00000000,-27.78201294,2.67530489,-1.23475611
0.00000000,-29.22256279,-2.26371956,-0.41158539
0.00000000,-27.16463470,2.05792689,-0.82317078
0.00000000,-22.84298897,-17.49237823,-0.20579270
0.00000000,-11.31859779,-11.73018265,2.26371956
0.00000000,-29.01676750,1.44054878,-1.02896345
0.00000000,-20.57926750,-25.72408676,-1.44054878
0.00000000,-8.84908581,-22.84298897,-1.23475611
0.00000000,-0.20579270,-16.46341515,-0.61737806
0.00000000,-23.25457382,-7.61432934,-1.64634156
0.00000000,-12.55335331,-16.87500000,0.20579270
0.00000000,-16.25762177,-25.51829338,19.75609779
0.00000000,-10.28963375,-36.21951294,27.16463470
0.00000000,-17.28658485,-39.51219559,11.31859779
0.00000000,-48.36128235,-49.39024353,0.00000000
0.00000000,-29.22256279,-3.08689022,-3.08689022
0.00000000,-9.26067066,36.01371765,-3.49847555
0.00000000,-34.16158676,22.84298897,-2.88109756
0.00000000,-35.80792999,-5.14481688,-2.05792689
0.00000000,-24.90091515,-3.70426846,-2.26371956
0.00000000,-24.90091515,8.64329243,-3.08689022
0.00000000,-31.48628044,16.25762177,-2.67530489
0.00000000,-33.13262558,13.37652493,-2.88109756
0.00000000,-29.83994102,8.02591515,-2.67530489
0.00000000,-27.16463470,5.76219511,-2.26371956
0.00000000,-29.01676750,9.67225647,-2.26371956
0.00000000,-29.83994102,12.55335331,-2.67530489
0.00000000,-30.25152588,12.14176846,-2.88109756
0.00000000,-29.42835236,9.26067066,-2.67530489
0.00000000,-29.22256279,9.05487823,-2.26371956
0.00000000,-29.01676750,9.46646309,-3.08689022
0.00000000,-29.63414764,11.31859779,-2.88109756
0.00000000,-29.01676750,10.28963375,-2.67530489
0.00000000,-29.22256279,9.87804890,-2.05792689
0.00000000,-28.81097794,9.05487823,-2.88109756
0.00000000,-29.63414764,9.87804890,-2.67530489
0.00000000,-29.42835236,10.70121956,-2.67530489
0.00000000,-29.42835236,10.90701199,-2.46951222
0.00000000,-29.42835236,10.49542713,-2.88109756
0.00000000,-30.25152588,9.67225647,-2.46951222
0.00000000,-29.83994102,10.70121956,-2.46951222
0.00000000,-29.63414764,9.87804890,-3.08689022
0.00000000,-29.42835236,9.67225647,-1.64634156
0.00000000,-29.22256279,9.67225647,-2.46951222
0.00000000,-29.63414764,10.28963375,-2.88109756
0.00000000,-29.83994102,9.87804890,-2.67530489
0.00000000,-29.22256279,10.49542713,-3.08689022
0.00000000,-29.42835236,10.70121956,-3.08689022
0.00000000,-29.22256279,10.08384132,-2.46951222
0.00000000,-29.01676750,10.70121956,-3.49847555
0.00000000,-29.22256279,9.87804890,-2.67530489
0.00000000,-29.63414764,10.28963375,-2.67530489
0.00000000,-29.63414764,10.70121956,-2.46951222
0.00000000,-29.22256279,10.70121956,-2.67530489
0.00000000,-29.22256279,10.49542713,-2.88109756
0.00000000,-29.22256279,10.90701199,-2.46951222
0.00000000,-29.83994102,10.08384132,-2.26371956
0.00000000,-29.63414764,10.70121956,-2.26371956
