q_x1_0,q_x1_1,q_x1_2,q_x1_3
1.00022674,-0.01129148,0.00727313,-0.06552948
1.00005662,-0.01634427,0.00816194,-0.06580379
1.00012708,-0.01566559,0.00840151,-0.06563240
1.00020838,-0.01308617,0.00793026,-0.06516101
1.00020015,-0.01239686,0.00707371,-0.06510660
1.00013328,-0.01454350,0.00921247,-0.06510845
1.00003636,-0.01727471,0.00945267,-0.06544816
1.00009763,-0.01565145,0.00641970,-0.06601935
1.00013173,-0.01568097,0.00514259,-0.06619039
1.00015235,-0.01378293,0.00908750,-0.06586904
1.00012422,-0.01567246,0.00826007,-0.06566679
1.00007188,-0.01728062,0.00725030,-0.06560320
1.00020826,-0.01562211,0.00107948,-0.06583221
1.00014949,-0.01433973,0.00711608,-0.06618983
0.99999040,-0.01780620,0.00905381,-0.06709443
1.00005651,-0.01751147,0.00784754,-0.06709360
1.00011849,-0.01456553,0.00826803,-0.06729477
1.00008345,-0.01748131,0.00210162,-0.06829484
1.00014997,-0.01474677,0.00753190,-0.06851891
1.00018620,-0.01254618,0.00737563,-0.06876316
1.00010920,-0.01557278,0.00871640,-0.06827015
1.00012839,-0.01551976,0.00285980,-0.06899239
1.00002348,-0.01701447,0.00738734,-0.06943426
1.00012934,-0.01344213,0.01094125,-0.06897627
1.00018442,-0.01339101,0.01006441,-0.06783352
1.00014496,-0.01416125,0.00591959,-0.06788264
1.00008225,-0.01633856,0.00746560,-0.06824201
1.00006306,-0.01513057,0.00933876,-0.06886851
1.00021422,-0.01340190,0.00830653,-0.06826405
1.00010478,-0.01562232,0.00821850,-0.06838275
1.00015604,-0.01452679,0.00419557,-0.06866081
1.00005341,-0.01592256,0.00809726,-0.06908312
1.00004995,-0.01570818,0.00897343,-0.06930062
1.00021267,-0.01279332,0.00470823,-0.06914022
1.00016999,-0.01354842,0.00568735,-0.06952886
1.00005567,-0.01534025,0.00705884,-0.06968389
1.00014722,-0.01320209,0.00592432,-0.06994878
1.00009787,-0.01584853,0.00740044,-0.07008242
1.00000882,-0.01700166,0.00948880,-0.07069369
1.00003016,-0.01747301,0.00581538,-0.07070618
1.00018442,-0.01499251,0.00388629,-0.07074701
1.00012267,-0.01379431,0.00897812,-0.07022189
1.00000739,-0.01794242,0.00766204,-0.07025947
1.00015569,-0.01360640,0.00978279,-0.07016179
1.00001490,-0.01700188,0.00892344,-0.07054092
1.00010312,-0.01473017,0.00548639,-0.07111127
1.00014913,-0.01360599,0.00540518,-0.07157250
1.00012231,-0.01531987,0.00841721,-0.07108630
1.00013983,-0.01433964,0.00718321,-0.07076909
1.00013053,-0.01377890,0.00497998,-0.07091370
1.00011218,-0.01572515,0.00663934,-0.07078247
1.00008345,-0.01662204,0.00669171,-0.07044851
1.00010896,-0.01455969,0.00520238,-0.07076085
1.00007558,-0.01529544,0.00616661,-0.07143562
1.00007713,-0.01562879,0.00603093,-0.07164966
1.00014484,-0.01369271,0.00529752,-0.07211575
1.00008965,-0.01695449,0.00480981,-0.07243662
1.00002337,-0.01787749,0.00575379,-0.07281750
1.00016546,-0.01325681,0.00835336,-0.07281010
1.00017583,-0.01198118,0.00634230,-0.07250138
1.00008166,-0.01572290,0.00854986,-0.07268634
1.00009322,-0.01425588,0.00886475,-0.07259531
1.00009012,-0.01548294,0.00969006,-0.07232799
1.00025475,-0.01348522,0.00512841,-0.07123858
1.00007856,-0.01659270,0.00797178,-0.07089347
1.00010502,-0.01703719,0.00638815,-0.07041782
1.00020659,-0.01235370,0.00498864,-0.07047316
1.00003731,-0.01838357,0.00536115,-0.07076862
1.00007176,-0.01484164,0.00735700,-0.07153250
1.00012124,-0.01468582,0.00562579,-0.07166343
1.00012171,-0.01462542,0.00615118,-0.07163101
1.00016022,-0.01256019,0.00565615,-0.07145859
1.00016642,-0.01438714,0.00477565,-0.07134148
1.00013077,-0.01528217,0.00535704,-0.07160798
1.00002325,-0.01781351,0.00830656,-0.07165945
1.00000370,-0.01595668,0.00847984,-0.07272168
1.00015378,-0.01471684,0.00777619,-0.07204857
1.00021434,-0.01339436,0.00207114,-0.07200576
1.00006294,-0.01565767,0.00961396,-0.07240309
1.00007045,-0.01817135,0.00387176,-0.07227112
1.00007427,-0.01661871,0.00611465,-0.07256712
1.00014567,-0.01527006,0.00267711,-0.07206161
1.00015080,-0.01518064,0.00582922,-0.07133784
1.00011539,-0.01486092,0.00553386,-0.07192241
1.00012386,-0.01543738,0.00404433,-0.07213698
1.00007701,-0.01621629,0.00843477,-0.07154506
1.00007296,-0.01513910,0.00611094,-0.07206953
1.00016844,-0.01229136,0.00556646,-0.07215218
1.00013125,-0.01440412,0.00713511,-0.07196278
1.00020301,-0.01323301,0.00555680,-0.07133657
1.00006378,-0.01641098,0.00850001,-0.07077021
1.00014496,-0.01352887,0.00741703,-0.07099703
1.00014901,-0.01599090,0.00574413,-0.07049396
1.00021148,-0.01195103,0.00668103,-0.07027121
1.00009716,-0.01500798,0.00611975,-0.07073061
1.00008702,-0.01696218,0.00481809,-0.07047778
1.00012445,-0.01459291,0.00773061,-0.07035413
1.00012004,-0.01488225,0.00885380,-0.07006675
1.00007832,-0.01550310,0.00797627,-0.07005401
1.00007641,-0.01826833,0.00518537,-0.06996898
1.00005889,-0.01550565,0.00665474,-0.07040107
1.00008118,-0.01526638,0.00639555,-0.07121135
1.00007081,-0.01555058,0.00672967,-0.07157499
1.00012028,-0.01433977,0.00511624,-0.07166493
1.00004327,-0.01856167,0.00402988,-0.07186951
1.00008190,-0.01666647,0.00886452,-0.07150726
1.00009453,-0.01618395,0.00750980,-0.07154247
1.00003588,-0.01554178,0.00938536,-0.07148778
1.00021315,-0.01129083,0.00934490,-0.07091957
1.00001156,-0.01572181,0.00706274,-0.07174939
1.00018275,-0.01327056,0.00740908,-0.07166695
1.00010204,-0.01510572,0.00881840,-0.07141224
1.00013769,-0.01427527,0.00496327,-0.07147072
1.00016320,-0.01283656,0.00641267,-0.07183937
1.00008345,-0.01518571,0.00652581,-0.07218580
1.00002646,-0.01760778,0.00514802,-0.07261962
1.00011075,-0.01419085,0.00339463,-0.07345981
1.00001132,-0.01581728,0.00928261,-0.07400318
0.99994898,-0.01925832,0.00899877,-0.07426940
1.00007451,-0.01722080,0.00358258,-0.07402878
1.00009727,-0.01367849,0.00628665,-0.07473537
0.99997097,-0.01714133,0.00734522,-0.07558453
0.99999481,-0.01736067,0.00935445,-0.07557052
1.00009096,-0.01610711,0.00631208,-0.07516551
1.00015211,-0.01362822,0.00647319,-0.07484345
1.00001907,-0.01641211,0.00733410,-0.07525130
1.00009823,-0.01646560,0.00395335,-0.07527854
1.00020540,-0.01263618,0.00616067,-0.07505009
0.99997675,-0.01500580,0.01110866,-0.07543412
1.00019693,-0.01420972,0.00461357,-0.07476272
1.00010812,-0.01461080,0.00611859,-0.07477961
1.00017989,-0.01377066,0.00456882,-0.07403614
1.00019276,-0.01286304,0.00601986,-0.07362824
1.00007701,-0.01566633,0.00699522,-0.07374611
1.00009537,-0.01482802,0.00568412,-0.07442630
1.00004399,-0.01615878,0.00752746,-0.07467122
1.00013578,-0.01560780,0.00583924,-0.07413050
1.00008500,-0.01478930,0.00575241,-0.07406648
1.00004959,-0.01620916,0.00855850,-0.07385562
1.00004458,-0.01800325,0.00747266,-0.07319217
1.00015628,-0.01463035,0.00444997,-0.07299224
1.00015199,-0.01415871,0.00593994,-0.07286511
1.00015736,-0.01464104,0.00737801,-0.07252661
1.00007582,-0.01577129,0.00722393,-0.07246262
1.00012255,-0.01625192,0.00433781,-0.07213933
1.00010014,-0.01700384,0.00609540,-0.07177456
1.00014448,-0.01453426,0.00622291,-0.07197974
1.00017107,-0.01408891,0.00568709,-0.07173611
1.00015450,-0.01435026,0.00553564,-0.07180257
1.00006664,-0.01603667,0.00666419,-0.07199997
1.00014770,-0.01414238,0.00829908,-0.07193636
1.00020015,-0.01291358,0.00719256,-0.07203270
1.00007534,-0.01654629,0.00485062,-0.07235404
1.00011420,-0.01482750,0.00780863,-0.07202592
1.00009811,-0.01502784,0.00614448,-0.07264706
1.00011349,-0.01622915,0.00381083,-0.07267661
1.00012994,-0.01460132,0.00410701,-0.07283346
1.00016487,-0.01436542,0.00795556,-0.07250896
1.00016606,-0.01434461,0.00644095,-0.07187120
1.00019276,-0.01311497,0.00670631,-0.07139856
1.00014400,-0.01476299,0.00873150,-0.07109056
1.00010347,-0.01693744,0.00726505,-0.07057148
1.00006568,-0.01648466,0.00794551,-0.07063852
1.00000679,-0.01658756,0.00884301,-0.07057403
1.00014961,-0.01433961,0.00701532,-0.07030708
1.00007772,-0.01674593,0.00597501,-0.07059306
1.00011277,-0.01441725,0.00694556,-0.07057336
1.00014222,-0.01602796,0.00546227,-0.07035682
1.00016952,-0.01360937,0.00573327,-0.07079118
1.00013828,-0.01510358,0.00502819,-0.07067363
1.00007737,-0.01454469,0.00879904,-0.07057578
1.00010467,-0.01658778,0.00548115,-0.07020210
1.00003791,-0.01667350,0.00593049,-0.07047980
1.00006950,-0.01742009,0.00521517,-0.07064020
1.00012481,-0.01594079,0.00765718,-0.07036047
1.00017357,-0.01231918,0.00868321,-0.07014038
1.00018370,-0.01317156,0.00586220,-0.06972834
1.00010622,-0.01404294,0.00675333,-0.07032250
1.00016117,-0.01510363,0.00805671,-0.06976654
1.00010383,-0.01597198,0.00365448,-0.07022804
1.00012422,-0.01531812,0.00679118,-0.07008877
1.00002921,-0.01648591,0.00839219,-0.07033794
1.00010049,-0.01561182,0.00721191,-0.07014511
1.00014913,-0.01407108,0.00659006,-0.07030312
1.00018573,-0.01442270,0.00395417,-0.07025921
1.00016367,-0.01507836,0.00446217,-0.07028286
1.00018120,-0.01371693,0.00420001,-0.07075601
1.00006294,-0.01454745,0.00795618,-0.07123071
1.00009155,-0.01664595,0.00652967,-0.07138790
0.99999708,-0.01796793,0.01353106,-0.07099664
1.00009859,-0.01404278,0.00748735,-0.07186160
1.00015700,-0.01252821,0.00619999,-0.07276878
1.00006998,-0.01515739,0.00697612,-0.07317077
1.00008488,-0.01445801,0.00900665,-0.07313604
1.00010693,-0.01650927,0.00466757,-0.07338063
1.00011480,-0.01405671,0.00728392,-0.07361756
1.00008333,-0.01460825,0.00607910,-0.07387860
1.00017345,-0.01367346,0.00801080,-0.07332610
1.00006318,-0.01592238,0.00687335,-0.07360428
1.00008869,-0.01631500,0.00748858,-0.07294670
1.00020945,-0.01297727,0.00478237,-0.07301228
1.00007486,-0.01463860,0.00802386,-0.07342789
1.00007796,-0.01468321,0.00791704,-0.07378569
1.00009143,-0.01563964,0.00579516,-0.07366981
1.00012267,-0.01528401,0.00717175,-0.07315841
1.00008941,-0.01156591,0.00870186,-0.07413995
1.00013900,-0.01588752,0.00504112,-0.07322617
1.00010896,-0.01523339,0.01130712,-0.07219028
1.00015187,-0.01562120,0.00621737,-0.07120496
1.00012076,-0.01672675,0.00498477,-0.07060390
1.00004804,-0.01648884,0.00875111,-0.07034010
1.00009966,-0.01617213,0.00391562,-0.07017267
1.00014853,-0.01435858,0.00722382,-0.06984501
1.00008047,-0.01564921,0.00842566,-0.06982023
1.00004637,-0.01763987,0.00853273,-0.06957300
1.00012898,-0.01442214,0.00722970,-0.06943655
1.00012493,-0.01493401,0.00783653,-0.06936203
1.00019336,-0.01311181,0.00382543,-0.06954744
1.00015593,-0.01417610,0.00810339,-0.06920295
1.00009215,-0.01592953,0.00967104,-0.06915198
1.00016868,-0.01406797,0.00764857,-0.06866787
1.00022507,-0.01213478,0.00628626,-0.06838813
1.00009573,-0.01525328,0.00642507,-0.06863693
1.00008774,-0.01752906,0.00436554,-0.06908181
1.00012755,-0.01432484,0.00548033,-0.06943597
1.00013483,-0.01422005,0.00605817,-0.06926499
1.00026572,-0.01271057,0.00624015,-0.06781501
1.00011742,-0.01559690,0.00741037,-0.06780832
1.00019479,-0.01291072,0.00820807,-0.06699966
1.00007594,-0.01454460,0.00861833,-0.06798729
1.00016165,-0.01509010,0.00521956,-0.06797741
1.00008953,-0.01467287,0.00507927,-0.06912971
1.00007093,-0.01453364,0.00736008,-0.06983949
1.00017715,-0.01493031,0.00420687,-0.06969573
1.00008345,-0.01637368,0.00451633,-0.07022969
1.00009525,-0.01458431,0.00746962,-0.07064812
1.00013447,-0.01683814,0.00754444,-0.06976762
1.00011468,-0.01520799,0.00646381,-0.06960886
1.00001240,-0.01947078,0.00566755,-0.06983837
1.00009871,-0.01468647,0.00841452,-0.06993235
1.00013506,-0.01390002,0.00848372,-0.06986134
1.00011182,-0.01634933,0.00696976,-0.06988384
1.00011611,-0.01408348,0.00804229,-0.06996283
1.00014484,-0.01451833,0.00626766,-0.06995729
1.00011313,-0.01543549,0.00477742,-0.07010250
1.00008392,-0.01582572,0.00663137,-0.07025786
1.00012004,-0.01530723,0.00612519,-0.07055768
1.00009775,-0.01433362,0.00686608,-0.07104488
1.00002539,-0.01702790,0.00650318,-0.07151153
1.00015819,-0.01536619,0.00346919,-0.07137898
1.00011396,-0.01558553,0.00584549,-0.07147908
1.00009406,-0.01516424,0.00546707,-0.07187045
1.00020075,-0.01349719,0.00549544,-0.07129394
1.00008774,-0.01546315,0.00321108,-0.07227693
1.00018573,-0.01158185,0.00797548,-0.07235838
1.00006199,-0.01773774,0.00574824,-0.07178510
1.00013077,-0.01333621,0.00772408,-0.07217610
1.00014246,-0.01416935,0.00774766,-0.07210819
1.00014985,-0.01536312,0.00553495,-0.07243913
1.00006711,-0.01632744,0.00596803,-0.07269463
1.00007653,-0.01547489,0.00562965,-0.07312182
1.00014627,-0.01441223,0.00688818,-0.07235517
1.00008786,-0.01553824,0.00696834,-0.07226013
1.00002587,-0.01574285,0.00724212,-0.07312261
1.00010622,-0.01761176,0.00372275,-0.07309353
1.00008094,-0.01470015,0.00720822,-0.07334757
1.00012779,-0.01563626,0.00649757,-0.07252141
1.00013411,-0.01507877,0.00544815,-0.07269800
1.00009918,-0.01524212,0.00723644,-0.07289588
1.00011110,-0.01514803,0.00961049,-0.07205327
1.00016904,-0.01315411,0.00638480,-0.07197274
1.00011170,-0.01568454,0.00454972,-0.07184029
1.00004756,-0.01675372,0.00723138,-0.07192874
1.00019860,-0.01460531,0.00594246,-0.07124902
1.00018275,-0.01511335,0.00484193,-0.07094911
1.00013947,-0.01385394,0.00615779,-0.07144757
1.00012684,-0.01540073,0.00487336,-0.07114908
1.00019431,-0.01268663,0.00660628,-0.07087482
1.00011301,-0.01490438,0.00832188,-0.07051709
1.00008786,-0.01720976,0.00595233,-0.07041992
1.00007832,-0.01707307,0.00564626,-0.07054458
1.00016212,-0.01317980,0.00717593,-0.07052960
1.00009847,-0.01538192,0.00766696,-0.07060421
1.00007379,-0.01636440,0.00729273,-0.07101244
1.00008631,-0.01632799,0.00466261,-0.07080793
1.00004888,-0.01634169,0.00638738,-0.07141461
1.00013053,-0.01549441,0.00765289,-0.07091415
1.00003397,-0.01763597,0.00610419,-0.07094380
1.00011384,-0.01561419,0.00439822,-0.07112519
1.00014532,-0.01253207,0.00737789,-0.07184859
1.00007069,-0.01649154,0.00483039,-0.07239877
1.00009620,-0.01631093,0.00592402,-0.07253012
1.00007474,-0.01596294,0.00595534,-0.07254061
1.00011623,-0.01530854,0.00464669,-0.07255793
1.00005686,-0.01621459,0.00769747,-0.07260334
1.00013542,-0.01518817,0.00405643,-0.07295801
1.00003934,-0.01634023,0.00672019,-0.07312144
1.00009060,-0.01500074,0.00692713,-0.07360611
1.00005889,-0.01490193,0.00670036,-0.07395103
1.00008929,-0.01565994,0.00751263,-0.07387471
1.00012100,-0.01483458,0.00722356,-0.07336305
