q_x1_0,q_x1_1,q_x1_2,q_x1_3
0.00000000,0.92317742,-0.37273172,-0.00185213f
0.00000000,0.80968481,-0.23438922,-0.00267531f
0.00000000,0.89096308,-0.14590786,-0.00267531f
0.00000000,1.01005590,-0.20572199,-0.00329268f
0.00000000,0.86533576,-0.29824743,-0.00205793f
0.00000000,0.91920900,-0.46107981,-0.00288110f
0.00000000,0.83297837,-0.20662744,-0.00267531f
0.00000000,0.85077858,-0.16186532,-0.00308689f
0.00000000,1.06534863,-0.40549889,-0.00308689f
0.00000000,0.95865512,-0.36930686,-0.00267531f
0.00000000,0.83343655,-0.22178037,-0.00267531f
0.00000000,1.01823342,-0.31410909,-0.00288110f
0.00000000,0.84347945,-0.26603448,-0.00308689f
0.00000000,0.78454399,-0.14556666,-0.00267531f
0.00000000,0.72648215,-0.34271985,-0.00329268f
0.00000000,0.93473953,-0.49221009,-0.00267531f
0.00000000,0.94375569,-0.13159186,-0.00246951f
0.00000000,0.67989928,-0.26665795,-0.00246951f
0.00000000,1.01074815,-0.10028639,-0.00267531f
0.00000000,0.76933062,-0.16076486,-0.00267531f
0.00000000,0.90357602,-0.38634461,-0.00308689f
0.00000000,0.97532600,-0.33967125,-0.00308689f
0.00000000,0.87591755,-0.17618658,-0.00288110f
0.00000000,0.90216422,-0.26550362,-0.00226372f
0.00000000,0.97634429,-0.39112777,-0.00226372f
0.00000000,0.84533882,-0.31173962,-0.00308689f
0.00000000,0.79046118,-0.34412628,-0.00246951f
0.00000000,0.92715853,-0.38942131,-0.00246951f
0.00000000,0.85586244,-0.32499009,-0.00308689f
0.00000000,0.84670359,-0.32724819,-0.00308689f
0.00000000,0.98148733,-0.40238139,-0.00288110f
0.00000000,0.81512350,-0.43214637,-0.00308689f
0.00000000,0.70822525,-0.40153638,-0.00288110f
0.00000000,1.00856733,-0.23525476,-0.00288110f
0.00000000,1.04740763,-0.31304982,-0.00267531f
0.00000000,0.82381731,-0.23432034,-0.00267531f
0.00000000,0.92471355,-0.19139723,-0.00267531f
0.00000000,0.87791657,-0.14591350,-0.00288110f
0.00000000,0.99751085,-0.43278754,-0.00267531f
0.00000000,0.80353773,-0.22181609,-0.00164634f
0.00000000,0.80341434,-0.32816756,-0.00246951f
0.00000000,1.05786455,-0.40273237,-0.00226372f
0.00000000,0.71152288,-0.40316099,-0.00267531f
0.00000000,0.90263802,-0.25042978,-0.00288110f
0.00000000,0.90944690,-0.40384784,-0.00329268f
0.00000000,0.90763289,-0.32711032,-0.00288110f
0.00000000,1.01656568,-0.31324774,-0.00267531f
0.00000000,0.94230837,-0.46585324,-0.00267531f
0.00000000,0.90707517,-0.40238860,-0.00267531f
0.00000000,0.72341669,-0.20558605,-0.00288110f
0.00000000,0.80776691,-0.20421922,-0.00267531f
0.00000000,0.93986672,-0.22197686,-0.00349848f
0.00000000,1.00977993,-0.55241948,-0.00226372f
0.00000000,0.85945141,-0.16083515,-0.00246951f
0.00000000,0.72568405,-0.49316835,-0.00308689f
0.00000000,0.81548119,-0.37221533,-0.00246951f
0.00000000,0.88193071,-0.51124752,-0.00288110f
0.00000000,0.88065255,-0.34407395,-0.00226372f
0.00000000,0.90366924,-0.41629812,-0.00205793f
0.00000000,0.87313336,-0.44583029,-0.00308689f
0.00000000,0.80350256,-0.17676796,-0.00267531f
0.00000000,0.87268406,-0.31073067,-0.00226372f
0.00000000,1.04515111,-0.34319896,-0.00308689f
0.00000000,0.96115714,-0.26931942,-0.00288110f
0.00000000,1.00284433,-0.38973579,-0.00288110f
0.00000000,0.77289951,-0.17636921,-0.00226372f
0.00000000,0.99402565,-0.23576178,-0.00226372f
0.00000000,0.86487865,-0.38924867,-0.00288110f
0.00000000,1.07248294,-0.28154540,-0.00226372f
0.00000000,0.85583895,-0.35499224,-0.00246951f
0.00000000,0.77539021,-0.43512058,-0.00288110f
0.00000000,0.92568535,-0.25253814,-0.00246951f
0.00000000,0.87086725,-0.17475013,-0.00267531f
0.00000000,0.88734657,-0.25460359,-0.00226372f
0.00000000,0.70647871,-0.41536239,-0.00308689f
0.00000000,0.84795547,-0.29743990,-0.00226372f
0.00000000,0.90860641,-0.34286231,-0.00308689f
0.00000000,0.86260545,-0.29720393,-0.00349848f
0.00000000,0.89048415,-0.41721943,-0.00308689f
0.00000000,0.67495847,-0.44412705,-0.00267531f
0.00000000,0.79834735,-0.17572524,-0.00246951f
0.00000000,0.84389567,-0.28095335,-0.00226372f
0.00000000,0.81945288,-0.16151154,-0.00267531f
0.00000000,1.08554518,-0.16036861,-0.00288110f
0.00000000,0.79978937,-0.29610384,-0.00226372f
0.00000000,0.99149334,-0.29496863,-0.00349848f
0.00000000,0.85953838,-0.20544787,-0.00246951f
0.00000000,0.94180959,-0.43473455,-0.00246951f
0.00000000,1.00691438,-0.32508340,-0.00288110f
0.00000000,0.91298640,-0.29873505,-0.00288110f
0.00000000,0.74155080,-0.41853428,-0.00329268f
0.00000000,0.93368918,-0.50651217,-0.00308689f
0.00000000,0.81444609,-0.16053063,-0.00329268f
0.00000000,0.61589116,-0.20480385,-0.00329268f
0.00000000,0.79254353,-0.51245588,-0.00288110f
0.00000000,0.96230763,-0.31045562,-0.00267531f
0.00000000,0.73705703,-0.28045964,-0.00329268f
0.00000000,0.73985887,-0.16072594,-0.00349848f
0.00000000,0.84621406,-0.29679316,-0.00288110f
0.00000000,1.00073290,-0.28310326,-0.00246951f
0.00000000,0.78197145,-0.26563743,-0.00267531f
0.00000000,0.82976639,-0.47729698,-0.00308689f
0.00000000,1.07533348,-0.34302455,-0.00267531f
0.00000000,0.83328545,-0.04010171,-0.00267531f
0.00000000,0.94893718,-0.44624728,-0.00349848f
0.00000000,0.88814557,-0.34079844,-0.00205793f
0.00000000,1.01008821,-0.39228401,-0.00267531f
0.00000000,1.02990150,-0.32819727,-0.00246951f
0.00000000,0.82536972,-0.27984843,-0.00246951f
0.00000000,0.91824883,-0.38599408,-0.00267531f
0.00000000,0.83154273,-0.25155005,-0.00329268f
0.00000000,0.87677908,-0.35748625,-0.00308689f
0.00000000,0.86074769,-0.34201369,-0.00226372f
