Roll,Pitch
1.65800726,-0.60283870
1.79733956,-0.44926581
1.53102469,-0.66037804
1.89003932,-0.65990865
1.53509974,-0.45145059
2.07536936,-0.54129034
1.83013678,-0.47995988
1.67321503,-0.44812348
1.73918843,-0.74955648
1.76829445,-0.56936973
1.46798766,-0.44933942
1.79071414,-0.68634510
1.90208697,-0.68345314
1.53428733,-0.48129320
1.92914712,-0.54247826
1.76547301,-0.71806371
1.81526506,-0.75625587
1.83208287,-0.36035073
1.80099344,-0.78032607
1.77663589,-0.63227344
1.59276605,-0.42068025
1.72458112,-0.69579566
1.74753761,-0.33138001
1.86401236,-0.51101679
1.93725407,-0.66581917
1.69082940,-0.51321989
2.01633167,-0.51150775
1.38901997,-0.54348445
1.74555576,-0.81248784
1.83193564,-0.81074566
1.63736868,-0.54572350
1.56107187,-0.51029402
1.51211607,-0.63502800
1.93880904,-0.71574992
1.56509852,-0.75237924
1.87133944,-0.86128950
2.01099873,-0.66020697
1.83957112,-0.96490073
1.61574841,-1.13693202
1.97903967,-0.29979622
2.04097581,-0.69020081
1.74561477,-0.66204208
1.98807263,-1.08425033
1.73655069,-0.47898069
1.57745039,-0.94032651
1.59193718,-0.39042795
1.54079509,-0.27187327
1.71280468,-0.75113976
1.89500964,-0.63156754
1.77114081,-0.27013198
1.86178076,-0.65004522
1.61581182,-1.01728165
2.02703714,-0.24198452
1.38467228,-0.39128536
1.98519957,-0.57139194
1.61767638,-0.56911618
1.99215639,-0.80267376
1.52096927,-0.54749298
1.66231513,-0.78573608
1.72665513,-0.35718724
1.36875081,-0.80334711
2.21748924,-0.47934306
1.59946930,-0.45262590
1.73838758,-0.38958180
2.01317000,-0.48066375
2.04635787,-0.63184196
1.87191069,-0.33205596
1.53431594,-0.33089316
1.70745623,-0.68888819
1.71009064,-0.80994964
1.89608836,-0.33100444
1.68107975,-0.54027754
1.57924628,-0.60733688
1.82498407,-1.25643468
1.90399063,-0.66477817
1.36955500,-0.44655600
1.61218858,-0.51705587
1.82823062,-0.44949323
1.52437031,-1.25531614
1.77871442,-0.56317812
2.06129837,-0.56749076
1.71832919,-0.33155954
1.80178356,-1.08095610
1.49948764,-0.50977433
1.96141517,-0.09050921
1.96553934,-0.24186580
1.86784470,-0.75305146
1.64163423,-0.47750649
1.80397034,-0.30061343
2.04106927,-0.42013502
1.75299907,-0.60439932
1.85993838,-0.92984664
1.68818319,-0.42198855
1.72376931,-0.33260891
2.15115023,-0.81787866
1.93879616,-0.74556959
1.68906486,-0.45236725
2.05715752,-0.63517517
1.70929086,-0.53970397
1.59195232,-0.30033109
1.47641575,-0.69295168
1.89087212,-0.99032634
1.90913081,-0.27268353
1.38318956,-0.54120356
2.04217982,-0.21018034
1.56192601,-0.33036834
1.82907414,-0.77949697
1.97170401,-0.68698984
1.77391279,-0.36074054
1.82629597,-0.53882366
1.97370028,-0.78934896
1.71284807,-0.63096803
1.60362351,-0.69583833
1.87571800,-0.78647566
1.73377967,-0.65755463
1.71553612,-0.66205257
1.98405790,-0.81152499
1.65269113,-0.87133169
1.44020069,-0.81005460
2.03785110,-0.47939888
2.11537504,-0.63448137
1.66972625,-0.47700262
1.87091279,-0.39222151
1.77765357,-0.30125028
2.01617813,-0.87252778
1.62963176,-0.45261917
1.62957323,-0.66382557
2.13647175,-0.81229997
1.44625771,-0.81346095
1.82725918,-0.50915653
1.84061468,-0.81458563
1.83680940,-0.66235715
2.05390573,-0.63417149
1.90587378,-0.93767983
1.83578289,-0.81244785
1.47029936,-0.42004317
1.63823485,-0.41695210
1.90105200,-0.45255309
2.04074073,-1.11023772
1.74113047,-0.33016542
1.47475100,-0.99313974
1.65360713,-0.75155681
1.78584075,-1.02901721
1.78317177,-0.69503963
1.82904708,-0.83945000
1.76816404,-0.89896065
1.62965012,-0.36209804
1.76735091,-0.62896997
2.11089826,-0.69344091
1.94345522,-0.54650027
2.02686429,-0.78640497
1.56849754,-0.36191815
2.00895786,-0.47965842
1.75200796,-0.78528506
2.16550756,-0.57132679
1.73375797,-0.71732634
1.57331336,-0.87734878
1.87285352,-0.51343977
1.76373529,-0.35867152
1.79649401,-0.51755607
1.43642998,-0.83785957
1.71826291,-0.60281998
1.83872986,-0.69318950
1.74747026,-0.60249364
1.80285490,-0.84122366
1.37299609,-0.89538294
1.61941731,-0.35982499
1.71017694,-0.56998372
1.66156721,-0.33226871
2.19102907,-0.33007643
1.62190640,-0.60063684
2.00367785,-0.59800172
1.74111259,-0.42020765
1.90490031,-0.87673157
2.03459668,-0.65812802
1.84750700,-0.60564631
1.50647986,-0.84356201
1.88887680,-1.01926291
1.65112329,-0.33018076
1.25572717,-0.41854593
1.60772622,-1.03129184
1.94593275,-0.62857771
1.49712265,-0.56885123
1.50266755,-0.33055082
1.71465564,-0.60155481
2.02268314,-0.57348716
1.58691347,-0.53889078
1.68179893,-0.96093500
2.17115259,-0.69341362
1.68911541,-0.09047525
1.91890407,-0.89935505
1.79820466,-0.68921524
2.04086518,-0.79183531
2.08078218,-0.66330683
1.67318416,-0.56761611
1.85806608,-0.77907646
1.68550181,-0.51160324
1.77566993,-0.72220993
1.74377275,-0.69140613
1.59777248,-0.51243347
1.45014346,-0.57396346
1.86579692,-0.93277478
1.86001098,-0.77989173
1.81398678,-0.50545943
1.72461224,-0.60504693
1.65353072,-0.93190175
1.62359893,-0.63132787
1.91203392,-0.59741056
1.95612538,-0.69204986
1.89294791,-0.81114292
1.65537596,-0.66207302
1.91009581,-0.41775975
2.09221339,-0.62753713
1.62095881,-0.87043226
1.80772448,-0.48198557
1.79255760,-0.74679828
1.64745307,-0.98838466
1.87267864,-0.93621427
1.84371209,-0.47572005
1.90298724,-0.66442794
2.05823135,-0.66577017
1.86500704,-0.45113638
1.55940568,-0.62969494
