K_00,K_01,K_02,K_03,K_10,K_11,K_12,K_13
0.00000000,0.00000000,0.50598723,0.00000000,0.00000000,0.50598723,0.00000000,0.00000000
0.00000000,0.00000000,0.50733554,0.00000000,0.00000000,0.50733554,0.00000000,0.00000000
0.00000000,0.00000000,0.50721169,0.00000000,0.00000000,0.50721169,0.00000000,0.00000000
0.00000000,0.00000000,0.50631517,0.00000000,0.00000000,0.50631517,0.00000000,0.00000000
0.00000000,0.00000000,0.50482732,0.00000000,0.00000000,0.50482732,0.00000000,0.00000000
0.00000000,0.00000000,0.50263846,0.00000000,0.00000000,0.50263846,0.00000000,0.00000000
0.00000000,0.00000000,0.50371468,0.00000000,0.00000000,0.50371468,0.00000000,0.00000000
0.00000000,0.00000000,0.50245154,0.00000000,0.00000000,0.50245154,0.00000000,0.00000000
0.00000000,0.00000000,0.50233757,0.00000000,0.00000000,0.50233757,0.00000000,0.00000000
0.00000000,0.00000000,0.50176704,0.00000000,0.00000000,0.50176704,0.00000000,0.00000000
0.00000000,0.00000000,0.50302327,0.00000000,0.00000000,0.50302327,0.00000000,0.00000000
0.00000000,0.00000000,0.50220084,0.00000000,0.00000000,0.50220084,0.00000000,0.00000000
0.00000000,0.00000000,0.50204313,0.00000000,0.00000000,0.50204313,0.00000000,0.00000000
0.00000000,0.00000000,0.50210154,0.00000000,0.00000000,0.50210154,0.00000000,0.00000000
0.00000000,0.00000000,0.50214052,0.00000000,0.00000000,0.50214052,0.00000000,0.00000000
0.00000000,0.00000000,0.50225621,0.00000000,0.00000000,0.50225621,0.00000000,0.00000000
0.00000000,0.00000000,0.50219226,0.00000000,0.00000000,0.50219226,0.00000000,0.00000000
0.00000000,0.00000000,0.50209099,0.00000000,0.00000000,0.50209099,0.00000000,0.00000000
0.00000000,0.00000000,0.50215882,0.00000000,0.00000000,0.50215882,0.00000000,0.00000000
0.00000000,0.00000000,0.50217944,0.00000000,0.00000000,0.50217944,0.00000000,0.00000000
0.00000000,0.00000000,0.50194895,0.00000000,0.00000000,0.50194895,0.00000000,0.00000000
0.00000000,0.00000000,0.50170398,0.00000000,0.00000000,0.50170398,0.00000000,0.00000000
0.00000000,0.00000000,0.50163811,0.00000000,0.00000000,0.50163811,0.00000000,0.00000000
0.00000000,0.00000000,0.50180274,0.00000000,0.00000000,0.50180274,0.00000000,0.00000000
0.00000000,0.00000000,0.50155926,0.00000000,0.00000000,0.50155926,0.00000000,0.00000000
0.00000000,0.00000000,0.50173706,0.00000000,0.00000000,0.50173706,0.00000000,0.00000000
0.00000000,0.00000000,0.50056958,0.00000000,0.00000000,0.50056958,0.00000000,0.00000000
0.00000000,0.00000000,0.50177312,0.00000000,0.00000000,0.50177312,0.00000000,0.00000000
0.00000000,0.00000000,0.50227904,0.00000000,0.00000000,0.50227904,0.00000000,0.00000000
0.00000000,0.00000000,0.50126362,0.00000000,0.00000000,0.50126362,0.00000000,0.00000000
0.00000000,0.00000000,0.50057095,0.00000000,0.00000000,0.50057095,0.00000000,0.00000000
0.00000000,0.00000000,0.50126326,0.00000000,0.00000000,0.50126326,0.00000000,0.00000000
0.00000000,0.00000000,0.50092977,0.00000000,0.00000000,0.50092977,0.00000000,0.00000000
0.00000000,0.00000000,0.50273448,0.00000000,0.00000000,0.50273448,0.00000000,0.00000000
0.00000000,0.00000000,0.50449806,0.00000000,0.00000000,0.50449806,0.00000000,0.00000000
0.00000000,0.00000000,0.50415152,0.00000000,0.00000000,0.50415152,0.00000000,0.00000000
0.00000000,0.00000000,0.50986254,0.00000000,0.00000000,0.50986254,0.00000000,0.00000000
0.00000000,0.00000000,0.50183147,0.00000000,0.00000000,0.50183147,0.00000000,0.00000000
0.00000000,0.00000000,0.50292015,0.00000000,0.00000000,0.50292015,0.00000000,0.00000000
0.00000000,0.00000000,0.50354809,0.00000000,0.00000000,0.50354809,0.00000000,0.00000000
0.00000000,0.00000000,0.50274926,0.00000000,0.00000000,0.50274926,0.00000000,0.00000000
0.00000000,0.00000000,0.50134170,0.00000000,0.00000000,0.50134170,0.00000000,0.00000000
0.00000000,0.00000000,0.50147861,0.00000000,0.00000000,0.50147861,0.00000000,0.00000000
0.00000000,0.00000000,0.50264502,0.00000000,0.00000000,0.50264502,0.00000000,0.00000000
0.00000000,0.00000000,0.50269115,0.00000000,0.00000000,0.50269115,0.00000000,0.00000000
0.00000000,0.00000000,0.50201744,0.00000000,0.00000000,0.50201744,0.00000000,0.00000000
0.00000000,0.00000000,0.50162911,0.00000000,0.00000000,0.50162911,0.00000000,0.00000000
0.00000000,0.00000000,0.50197279,0.00000000,0.00000000,0.50197279,0.00000000,0.00000000
0.00000000,0.00000000,0.50221193,0.00000000,0.00000000,0.50221193,0.00000000,0.00000000
0.00000000,0.00000000,0.50224471,0.00000000,0.00000000,0.50224471,0.00000000,0.00000000
0.00000000,0.00000000,0.50201100,0.00000000,0.00000000,0.50201100,0.00000000,0.00000000
0.00000000,0.00000000,0.50197369,0.00000000,0.00000000,0.50197369,0.00000000,0.00000000
0.00000000,0.00000000,0.50197375,0.00000000,0.00000000,0.50197375,0.00000000,0.00000000
0.00000000,0.00000000,0.50212723,0.00000000,0.00000000,0.50212723,0.00000000,0.00000000
0.00000000,0.00000000,0.50200284,0.00000000,0.00000000,0.50200284,0.00000000,0.00000000
0.00000000,0.00000000,0.50200438,0.00000000,0.00000000,0.50200438,0.00000000,0.00000000
