y_t_0,y_t_1
2.03797436,-0.48974225
1.78164208,-0.79536891
2.19534755,-0.58202803
1.76298058,-0.72761595
1.60233009,-0.88805002
1.90207613,-0.52393520
1.79316366,-0.36937273
1.82571650,-0.52805150
1.46606410,-0.84856081
1.74789691,-0.61331540
1.86774647,-0.70347905
1.77731013,-0.61319488
1.83228314,-0.85151327
1.40160120,-0.90608418
1.64884567,-0.36970299
1.73981106,-0.58047915
1.69140720,-0.34296992
2.21984005,-0.34077764
1.65092313,-0.61154383
2.03248858,-0.60849714
1.77054095,-0.43132043
1.93412280,-0.88763851
2.06381917,-0.66882920
1.87672961,-0.61634755
1.53631973,-0.85364580
1.91830516,-1.02975833
1.68013990,-0.34067619
1.28494966,-0.42924711
1.63715458,-1.04199302
1.97536099,-0.63886732
1.52634525,-0.57914084
1.53189015,-0.34104621
1.74408400,-0.61205024
2.05231738,-0.58315945
1.61654747,-0.54876882
1.71102154,-0.97122461
2.20078683,-0.70370322
1.71895528,-0.10117647
1.94771492,-0.90985048
1.82763302,-0.69971067
2.06988192,-0.80233073
2.11041641,-0.67297906
1.70261240,-0.57790565
1.88728869,-0.78936607
1.71513593,-0.52230442
1.80530405,-0.73249954
1.77340674,-0.70169568
1.62637758,-0.52251726
1.47916019,-0.58528209
1.89522517,-0.94327021
1.88923359,-0.79059291
1.84300351,-0.51657224
1.75404048,-0.61533654
1.68295896,-0.94260293
1.65282154,-0.64182329
1.94187391,-0.60728854
1.98596537,-0.70192784
1.92258191,-0.82122672
1.68480432,-0.67298001
1.93931830,-0.42846096
2.12184763,-0.63803250
1.65079880,-0.88154507
1.83715284,-0.49248099
1.82178009,-0.75729370
1.67688143,-0.99929160
1.90190125,-0.94670969
1.87293470,-0.48621544
1.93241560,-0.67512918
2.08765960,-0.67626554
1.89443541,-0.46204337
1.58924556,-0.64080769
1.65050995,-0.52118617
1.57347059,-0.34369150
1.99739444,-0.55513102
1.65509140,-0.79253173
1.93770063,-0.52569383
1.73862433,-0.81940407
2.03534317,-0.75896853
1.83347392,-0.76219857
1.84770048,-0.34317386
1.65429056,-0.73255581
1.66504896,-0.61559242
1.60439146,-0.91802269
1.76800096,-0.49059430
2.09874701,-0.37002373
1.98410296,-0.73225242
1.88596570,-0.63943422
1.78813767,-0.48768154
1.73944986,-0.97061568
1.80514145,-0.61193520
1.63226664,-0.49431378
1.78499913,-0.61626369
1.94644737,-0.63961840
1.95233929,-0.94177157
1.88963163,-0.82017320
1.96651602,-0.96318096
1.72963262,-0.48815054
1.67597842,-0.69961053
1.47169280,0.07940511
1.93295670,-0.57621169
2.11291289,-0.72489995
1.84093535,-0.58446491
1.90944672,-0.43469119
1.70161831,-0.90683812
1.98910666,-0.55296397
1.86645436,-0.64274788
2.05406785,-0.49332830
1.70477033,-0.57890958
1.66074729,-0.58399850
2.12896776,-0.91042763
1.82790589,-0.49037305
1.89911973,-0.52333081
1.78719938,-0.79847658
1.84476018,-0.58546978
2.15290880,-0.33937997
1.69457340,-0.94908363
1.81137955,-0.04131747
1.81941199,-0.70790339
1.66947293,-0.92122513
1.66511750,-0.31377268
1.65973783,-0.97590274
1.93384838,-0.55449390
1.78525496,-0.43425316
1.46692419,-0.45960605
1.93226135,-0.52413207
1.86918676,-0.52272213
2.04257369,-1.00199449
1.89206028,-0.49140757
1.77310288,-0.28146836
1.95818830,-0.52256840
2.15817451,-0.61001527
1.77760196,-0.64303237
1.58365083,-0.90700167
1.89669037,-0.79304814
1.90973639,-0.70827955
2.12192225,-0.64733815
1.80963743,-0.52321476
2.05898166,-0.43420464
1.88624692,-0.36989874
1.86252999,-0.82146013
1.85773861,-0.81954604
1.90406084,-0.49424404
1.85747480,-0.93897414
1.67695010,-0.84914809
1.82486689,-0.54863518
1.72699380,-0.55640793
1.88952565,-0.68095094
1.32189727,-0.82187480
1.87230968,-0.49394837
1.98238719,-0.31154284
1.74517024,-0.67172480
1.88919854,-0.46062776
1.88327491,-0.60854965
1.77315307,-0.82151377
1.75109804,-0.64437652
