temp6_0,temp6_1,temp6_2,temp6_3
0.00000000,-1.09202743,-0.00503640,0.00000000f
0.00000000,1.58214116,1.10629344,0.00000000f
0.00000000,1.15682125,-0.23380338,0.00000000f
0.00000000,1.70226872,-0.61246306,0.00000000f
0.00000000,0.63856471,-1.10393202,0.00000000f
0.00000000,0.76947707,0.42453840,0.00000000f
0.00000000,0.81360537,0.11918700,0.00000000f
0.00000000,0.78111452,0.31154284,0.00000000f
0.00000000,0.73426020,-0.11406336,0.00000000f
0.00000000,1.03876519,-0.14758304,0.00000000f
0.00000000,1.06397176,-0.54334962,0.00000000f
0.00000000,0.95464206,-0.13574679,0.00000000f
0.00000000,0.77211595,0.16544653,0.00000000f
0.00000000,0.57907081,0.26138961,0.00000000f
0.00000000,0.28885621,0.84070355,0.00000000f
0.00000000,0.19191901,-0.16795498,0.00000000f
0.00000000,1.01302052,0.59715092,0.00000000f
0.00000000,0.72554415,0.20981948,0.00000000f
0.00000000,0.76426065,0.25265303,0.00000000f
0.00000000,0.90934259,-0.67222703,0.00000000f
0.00000000,0.74418092,0.34119445,0.00000000f
0.00000000,0.63292736,0.36603415,0.00000000f
0.00000000,0.85011053,0.29957953,0.00000000f
0.00000000,0.91994709,0.19301733,0.00000000f
0.00000000,0.37692398,0.13303772,0.00000000f
0.00000000,0.86111176,0.34295747,0.00000000f
0.00000000,0.71851540,0.10522199,0.00000000f
0.00000000,0.67763734,0.11678086,0.00000000f
0.00000000,0.82752877,0.20664924,0.00000000f
0.00000000,0.57839823,-0.26188305,0.00000000f
0.00000000,0.50377852,-0.03302125,0.00000000f
0.00000000,0.61005896,-0.01713720,0.00000000f
0.00000000,0.73195630,0.02857235,0.00000000f
0.00000000,0.54008329,-0.04389751,0.00000000f
0.00000000,0.67445910,0.22423474,0.00000000f
0.00000000,0.87233520,-1.12893403,0.00000000f
0.00000000,0.87317079,0.87337685,0.00000000f
0.00000000,0.80989182,1.39147472,0.00000000f
0.00000000,0.75806874,-0.16586590,0.00000000f
0.00000000,0.13088405,0.18531732,0.00000000f
0.00000000,1.37311637,-0.37547696,0.00000000f
0.00000000,0.55321109,0.11782179,0.00000000f
0.00000000,1.06354690,-0.67644125,0.00000000f
0.00000000,-2.50790262,-2.02675724,0.00000000f
0.00000000,1.69484854,1.53724825,0.00000000f
0.00000000,3.54196143,2.60221839,0.00000000f
0.00000000,0.78085887,-2.11907339,0.00000000f
0.00000000,-0.27442780,-3.30131006,0.00000000f
0.00000000,1.00549483,-0.78792375,0.00000000f
0.00000000,1.37020707,0.53247356,0.00000000f
0.00000000,0.64646488,0.30108789,0.00000000f
0.00000000,0.70604712,-0.56838799,0.00000000f
0.00000000,1.06200707,-0.87641048,0.00000000f
0.00000000,0.95794398,-0.36701906,0.00000000f
0.00000000,0.77803230,-0.08285316,0.00000000f
0.00000000,0.62785417,0.02661224,0.00000000f
0.00000000,0.85820836,-0.34973079,0.00000000f
0.00000000,0.82104260,-0.48272687,0.00000000f
0.00000000,0.93301964,-0.53298509,0.00000000f
0.00000000,0.86170530,-0.33861572,0.00000000f
0.00000000,0.65553212,-0.17245381,0.00000000f
0.00000000,0.90001142,-0.21459526,0.00000000f
0.00000000,0.97830915,-0.45644072,0.00000000f
0.00000000,0.86690211,-0.33449307,0.00000000f
0.00000000,1.02945173,-0.20204413,0.00000000f
0.00000000,0.84699672,-0.30758649,0.00000000f
0.00000000,0.91660053,-0.23004510,0.00000000f
0.00000000,0.78354597,-0.33650950,0.00000000f
0.00000000,0.96370924,-0.33669379,0.00000000f
0.00000000,0.78551537,-0.23213965,0.00000000f
0.00000000,1.05674374,-0.27703196,0.00000000f
0.00000000,0.93415248,-0.24585785,0.00000000f
0.00000000,0.85513759,-0.23038495,0.00000000f
0.00000000,0.88806581,-0.38128629,0.00000000f
0.00000000,0.90248919,-0.29068950,0.00000000f
0.00000000,0.75159931,-0.23042379,0.00000000f
0.00000000,0.91396189,-0.34976691,0.00000000f
0.00000000,0.96999472,-0.34811231,0.00000000f
0.00000000,0.78494716,-0.24689838,0.00000000f
0.00000000,0.98335379,-0.27773812,0.00000000f
0.00000000,0.90096742,-0.36554232,0.00000000f
0.00000000,0.92588758,-0.38503662,0.00000000f
0.00000000,0.93439507,-0.18585874,0.00000000f
0.00000000,0.91911852,-0.39695108,0.00000000f
0.00000000,0.90691769,-0.32283387,0.00000000f
0.00000000,0.81431270,-0.21657328,0.00000000f
0.00000000,0.88047808,-0.35458577,0.00000000f
0.00000000,0.89202774,-0.17184623,0.00000000f
0.00000000,0.95088619,-0.26163992,0.00000000f
0.00000000,0.98755926,-0.33967564,0.00000000f
0.00000000,0.86395907,-0.26285744,0.00000000f
0.00000000,1.02691269,-0.26195362,0.00000000f
0.00000000,0.71187806,-0.27810714,0.00000000f
0.00000000,0.89102012,-0.41327867,0.00000000f
0.00000000,0.93463778,-0.41211364,0.00000000f
0.00000000,0.83687818,-0.27958062,0.00000000f
0.00000000,0.79853749,-0.26147115,0.00000000f
0.00000000,0.77409333,-0.32410920,0.00000000f
0.00000000,0.98834383,-0.36474693,0.00000000f
0.00000000,0.80070961,-0.38314003,0.00000000f
0.00000000,0.95430768,-0.43769214,0.00000000f
0.00000000,1.02443492,-0.33684212,0.00000000f
0.00000000,0.93898010,-0.48992395,0.00000000f
0.00000000,0.82584727,-0.57616198,0.00000000f
0.00000000,1.00868177,-0.15569773,0.00000000f
0.00000000,1.03930223,-0.35166734,0.00000000f
0.00000000,0.89152431,-0.33801699,0.00000000f
0.00000000,1.01316249,-0.54934484,0.00000000f
